iter	RMSE
0	19270705.24
1	18521394.32
2	17817636.14
3	17162242.34
4	16508855.29
5	15911027.49
6	15302853.98
7	14742319.72
8	14264718.69
9	13731267.09
10	13274384.92
11	12838282.68
12	12414301.06
13	11966157.6
14	11538613.18
15	11163817.94
16	10758663.07
17	10395850.63
18	10045719.54
19	9707349.608
20	9392568.978
21	9092745.039
22	8806108.891
23	8528375.671
24	8256090.701
25	7999004.146
26	7769473.179
27	7544096.881
28	7346310.993
29	7134037.548
30	6947093.044
31	6773538.036
32	6587179.672
33	6416536.518
34	6273959.712
35	6123858.653
36	5971138.699
37	5831637.745
38	5703905.683
39	5595689.511
40	5468785.668
41	5344610.174
42	5229686.359
43	5137479.88
44	5038747.481
45	4945283.523
46	4849934.956
47	4754991.969
48	4676570.184
49	4606777.702
50	4525679.903
51	4446052.888
52	4384048.649
53	4326209.991
54	4276103.341
55	4217560.263
56	4157161.044
57	4097907.642
58	4033566.145
59	3982146.879
60	3936488.874
61	3889182.806
62	3840962.084
63	3784868.486
64	3725664.736
65	3683342.135
66	3628851.754
67	3591868.29
68	3541266.554
69	3505195.043
70	3458157.769
71	3411587.375
72	3375919.615
73	3331217.285
74	3297448.132
75	3250302.171
76	3212052.438
77	3174193.191
78	3135363.045
79	3105438.936
80	3061131.569
81	3032060.103
82	3002482.8
83	2975620.573
84	2947428.037
85	2909886.849
86	2880225.176
87	2845593.54
88	2821271.288
89	2795447.607
90	2771087.646
91	2748342.315
92	2719005.147
93	2689852.623
94	2663195.53
95	2643555.769
96	2622875.058
97	2602305.261
98	2581983.84
99	2555860.45
100	2534660.944
101	2510772.439
102	2488734.434
103	2466937.501
104	2445794.592
105	2422270.197
106	2403851.248
107	2386037.734
108	2367428.261
109	2350574.951
110	2334058.06
111	2317692.388
112	2301170.894
113	2281625.629
114	2264988.239
115	2250021.753
116	2234402.064
117	2220222.838
118	2201844.401
119	2188134.571
120	2170872.909
121	2150747.294
122	2135731.221
123	2120484.568
124	2107777.363
125	2086353.706
126	2074005.243
127	2058865.419
128	2040311.639
129	2028337.621
130	2016294.761
131	2004378.226
132	1986432.819
133	1975204.733
134	1956409.009
135	1943753.13
136	1929308.447
137	1918368.245
138	1906864.546
139	1889877.608
140	1879939.074
141	1868112.49
142	1857541.202
143	1843255.594
144	1832955.118
145	1823073.505
146	1810423.699
147	1801424.86
148	1792270.892
149	1783681.067
150	1774454.032
151	1766229.6
152	1749001.697
153	1736112.673
154	1719895.731
155	1706070.707
156	1691168.122
157	1683400.637
158	1675826.44
159	1668536.683
160	1654734.813
161	1648216.36
162	1641232.371
163	1634771.786
164	1627984.94
165	1613572.31
166	1604873.325
167	1594182.497
168	1587364.798
169	1579974.987
170	1573796.529
171	1568143.137
172	1557135.457
173	1551205.793
174	1542839.044
175	1532558.307
176	1525280.993
177	1513543.535
178	1502475.891
179	1490578.272
180	1481768.883
181	1472710.394
182	1467274.734
183	1462063.921
184	1455097.537
185	1445169.679
186	1439429.447
187	1432284.466
188	1426871.228
189	1418661.181
190	1413271.437
191	1408268.924
192	1401782.77
193	1393771.063
194	1384739.294
195	1377833.164
196	1370456.16
197	1365730.657
198	1361139.563
199	1356260.27
200	1346841.067
201	1340420.794
202	1336111.362
203	1331513.717
204	1324219.57
205	1317105.066
206	1310515.509
207	1302171.573
208	1298320.095
209	1292857.499
210	1288276.208
211	1281520.056
212	1275575.72
213	1269165.905
214	1263202.029
215	1259281.647
216	1255951.605
217	1249759.2
218	1244175.5
219	1238375.605
220	1230395.594
221	1223619.49
222	1218440.086
223	1212111.403
224	1207127.432
225	1201708.201
226	1195360.435
227	1189408.196
228	1182900.846
229	1178301.924
230	1175463.352
231	1169134.335
232	1162385.191
233	1156329.551
234	1150282.584
235	1145737.443
236	1142557.078
237	1136868.807
238	1132544.148
239	1128725.529
240	1123803.644
241	1119519.976
242	1113829.666
243	1108517.474
244	1103728.554
245	1099370.278
246	1095531.611
247	1090321.517
248	1085803.304
249	1082779.457
250	1078734.603
251	1075844.918
252	1072128.427
253	1067123.701
254	1062456.86
255	1058260.529
256	1054107.317
257	1050711.166
258	1047984.986
259	1043290.967
260	1039894.012
261	1035910.141
262	1032835.057
263	1028991.309
264	1024790.148
265	1019821.075
266	1016349.615
267	1012344.207
268	1008986.925
269	1005284.761
270	1000705.69
271	997128.6731
272	994673.4898
273	991657.0723
274	987612.3965
275	984516.8429
276	980748.195
277	977147.4621
278	974427.5815
279	970647.2018
280	967022.5747
281	963167.0105
282	958851.0496
283	954130.4846
284	950512.3848
285	946808.9535
286	944162.1594
287	940871.5643
288	938189.5476
289	935427.0771
290	932082.6894
291	929197.3687
292	926709.2621
293	924286.3018
294	921636.1652
295	919260.4781
296	916632.6288
297	913809.3086
298	911255.8413
299	908154.6727
300	905471.2296
301	902275.1929
302	899754.4974
303	896931.2988
304	893227.604
305	890005.6737
306	886809.0511
307	884250.4716
308	882138.0048
309	880642.6551
310	879301.4643
311	876793.2434
312	874691.593
313	872143.23
314	869861.1149
315	868177.105
316	866162.4259
317	864792.9023
318	863075.9571
319	860262.1688
320	858998.0312
321	857470.5021
322	854860.2878
323	851520.9715
324	849305.8309
325	846869.1136
326	843309.9881
327	841624.4576
328	837249.854
329	834698.5769
330	831740.608
331	829502.6822
332	826242.1774
333	824111.9199
334	821882.7522
335	819854.5522
336	817102.306
337	815457.4135
338	813078.623
339	810022.2947
340	808581.8582
341	806747.6392
342	803690.8459
343	802587.5653
344	800831.0587
345	798489.833
346	796587.8894
