iter	Passed	Remaining
0	146	146192
1	148	74084
2	150	50063
3	152	37993
4	154	30723
5	156	25908
6	158	22478
7	160	19898
8	162	17899
9	165	16336
10	166	15013
11	168	13909
12	170	12979
13	173	12201
14	175	11509
15	177	10896
16	179	10373
17	181	9897
18	183	9474
19	185	9095
20	187	8748
21	189	8436
22	191	8142
23	193	7881
24	195	7636
25	197	7415
26	200	7210
27	202	7021
28	204	6849
29	206	6684
30	208	6529
31	211	6384
32	213	6251
33	215	6127
34	217	6010
35	220	5902
36	222	5798
37	225	5704
38	227	5608
39	229	5515
40	231	5426
41	234	5348
42	236	5267
43	239	5192
44	241	5117
45	243	5046
46	245	4976
47	247	4908
48	249	4844
49	251	4781
50	253	4720
51	255	4662
52	257	4604
53	259	4546
54	261	4493
55	263	4439
56	265	4393
57	267	4349
58	269	4303
59	271	4255
60	273	4210
61	275	4168
62	277	4125
63	279	4083
64	281	4048
65	283	4011
66	285	3973
67	287	3939
68	289	3905
69	291	3871
70	293	3840
71	295	3812
72	297	3781
73	300	3756
74	302	3732
75	304	3706
76	306	3678
77	308	3652
78	311	3629
79	313	3605
80	315	3581
81	317	3556
82	319	3532
83	322	3513
84	324	3491
85	326	3472
86	328	3451
87	331	3430
88	332	3406
89	334	3384
90	336	3362
91	339	3346
92	341	3326
93	343	3307
94	344	3286
95	346	3266
96	348	3246
97	350	3227
98	352	3209
99	354	3191
100	358	3191
101	360	3175
102	362	3158
103	364	3142
104	367	3128
105	369	3113
106	371	3097
107	373	3084
108	375	3069
109	377	3054
110	379	3039
111	381	3025
112	384	3014
113	386	3001
114	388	2990
115	390	2976
116	392	2963
117	395	2957
118	397	2945
119	399	2932
120	401	2918
121	404	2913
122	407	2905
123	409	2894
124	412	2885
125	414	2873
126	416	2860
127	418	2850
128	421	2844
129	423	2832
130	426	2826
131	428	2815
132	430	2803
133	432	2791
134	434	2783
135	436	2775
136	439	2765
137	441	2757
138	443	2746
139	445	2738
140	448	2730
141	450	2724
142	453	2716
143	455	2707
144	457	2698
145	459	2690
146	462	2682
147	464	2676
148	467	2672
149	470	2667
150	473	2659
151	475	2652
152	479	2653
153	482	2648
154	484	2641
155	487	2635
156	489	2627
157	492	2622
158	495	2619
159	498	2616
160	500	2610
161	503	2603
162	505	2596
163	508	2589
164	511	2587
165	514	2585
166	517	2579
167	519	2573
168	522	2566
169	524	2560
170	527	2559
171	530	2552
172	532	2545
173	535	2539
174	537	2536
175	540	2532
176	543	2527
177	546	2521
178	548	2517
179	551	2510
180	553	2506
181	556	2502
182	559	2496
183	561	2491
184	564	2486
185	566	2479
186	568	2473
187	571	2470
188	574	2467
189	577	2461
190	579	2454
191	582	2450
192	584	2444
193	587	2439
194	589	2435
195	592	2429
196	594	2423
197	596	2417
198	598	2409
199	600	2402
200	602	2396
201	604	2389
202	606	2382
203	609	2376
204	611	2369
205	613	2363
206	615	2356
207	617	2350
208	619	2343
209	621	2336
210	623	2330
211	625	2324
212	627	2317
213	629	2311
214	631	2305
215	633	2299
216	635	2292
217	637	2286
218	639	2280
219	641	2274
220	644	2271
221	646	2265
222	648	2260
223	651	2255
224	653	2251
225	655	2246
226	658	2240
227	660	2234
228	662	2229
229	664	2224
230	666	2219
231	669	2214
232	671	2210
233	673	2206
234	676	2201
235	678	2197
236	681	2193
237	683	2188
238	685	2184
239	687	2178
240	690	2173
241	692	2168
242	695	2165
243	697	2161
244	700	2157
245	702	2153
246	704	2149
247	707	2144
248	709	2139
249	711	2135
250	714	2132
251	716	2127
252	719	2123
253	721	2119
254	723	2114
255	726	2111
256	728	2107
257	731	2103
258	734	2100
259	736	2095
260	738	2091
261	741	2088
262	743	2084
263	746	2080
264	748	2076
265	750	2071
266	752	2066
267	755	2062
268	757	2058
269	760	2055
270	762	2050
271	764	2045
272	766	2040
273	768	2035
274	770	2030
275	772	2025
276	774	2020
277	776	2016
278	779	2015
279	782	2010
280	783	2005
281	786	2001
282	788	1998
283	791	1994
284	792	1989
285	794	1984
286	797	1980
287	799	1976
288	801	1972
289	803	1968
